Step    -1:  2541 ms
Step    11: 31,20/0 ne| 32,27/0 ? | 32,29/0 ? |  4911 ms
Step    12: 31,20/1 ne| 32,21/0 n | 31,22/0 ? | 32,23/0 se| 31,24/0 ? | 31,26/0 e | 32,27/1 ? | 31,28/0 ? | 32,29/1 ? | 31,30/0 ? |  4228 ms
Step    13: 32,19/0 ne| 32,20/0 n | 31,22/1 e | 33,24/0 s | 31,24/1 e | 31,26/1 e | 32,27/2 e | 31,28/1 s | 32,29/2 s | 31,30/1 s |  3992 ms
Step    13: 32,19/1 ne| 32,20/1 ne| 32,22/0 ne| 33,24/1 s | 32,24/0 ne| 32,26/0 se| 33,27/0 e | 32,28/0 s | 32,30/0 s | 31,31/0 s |    81 ms
Step    13: 33,18/0 ne| 32,20/2 ne| 32,22/1 ne| 33,24/2 s | 32,24/1 ne| 32,26/1 se| 34,28/0 e | 32,28/1 s | 32,30/1 s | 31,31/1 s |  4411 ms
Step    14: 33,18/1 ne| 33,19/0 nw| 33,21/0 nw| 33,24/3 s | 32,24/2 ne| 32,26/2 se| 34,28/1 e | 32,28/2 s | 32,30/2 s | 31,31/2 s |    33 ms
Step    14: 33,18/2 ne| 33,19/1 nw| 33,21/1 nw| 33,25/0 s | 33,23/0 n | 32,26/3 se| 34,28/2 e | 32,29/0 se| 32,31/0 s | 31,32/0 s |    80 ms
Step    14: 33,18/3 ne| 33,19/2 nw| 33,21/2 nw| 33,26/0 s | 33,23/1 n | 32,26/4 se| 34,28/3 e | 32,29/1 se| 32,31/1 s | 31,32/1 s |  4187 ms
Step    14: 34,17/0 ne| 33,19/3 nw| 32,20/0 nw| 33,26/1 s | 33,23/2 n | 32,26/5 se| 35,28/0 se| 33,30/0 s | 32,31/2 s | 31,32/2 s |    37 ms
Step    15: 34,17/1 ne| 32,18/0 nw| 32,20/1 nw| 33,26/2 s | 33,22/0 nw| 33,27/0 se| 35,28/1 se| 33,30/1 s | 32,31/3 s | 31,32/3 s |     6 ms
Step    15: 35,16/0 ne| 32,18/1 nw| 31,19/0 nw| 33,26/3 sw| 33,22/1 nw| 33,27/1 se| 35,28/2 se| 33,30/2 s | 32,32/0 sw| 31,33/0 sw|  4089 ms
Step    16: 35,16/1 ne| 32,18/2 nw| 31,19/1 sk| 33,26/4 sw| 33,22/2 nw| 33,27/2 se| 36,29/0 e | 33,30/3 s | 32,32/1 sw| 31,33/1 sw|     5 ms
Step    16: 35,16/2 ne| 31,17/0 nw| 31,19/2 sk| 33,26/5 sw| 33,22/3 nw| 32,28/0 se| 36,29/1 e | 33,30/4 s | 32,32/2 sw| 30,34/0 s |   108 ms
Step    16: 35,16/3 ne| 31,17/1 nw| 31,19/3 sk| 32,27/0 se| 32,21/0 n | 32,28/1 se| 36,29/2 e | 33,31/0 w | 32,32/3 w | 30,34/1 s |  4181 ms
Step    16: 35,16/4 ne| 31,17/2 nw| 31,19/4 sk| 32,27/1 se| 32,21/1 n | 32,28/2 se| 37,29/0 e | 33,31/1 w | 32,32/4 w | 30,34/2 s |     7 ms
Step    17: 36,15/0 ne| 30,16/0 nw| 31,19/5 sk| 32,27/2 se| 32,20/0 n | 33,29/0 se| 37,29/1 e | 32,31/0 s | 31,32/0 nw| 30,35/0 sw|    35 ms
Step    17: 37,14/0 ne| 30,16/1 nw| 31,19/6 sk| 32,27/3 se| 32,20/1 n | 34,30/0 sw| 37,29/2 e | 32,31/1 s | 31,32/1 nw| 30,35/1 sw|  4223 ms
Step    18: 37,14/1 se| 30,16/2 nw| 31,19/7 sk| 33,28/0 sw| 32,19/0 nw| 34,30/1 sw| 38,29/0 ne| 32,32/0 sw| 31,32/2 nw| 30,35/2 sw|    72 ms
Step    18: 38,15/0 se| 30,16/3 nw| 31,19/8 sk| 33,28/1 sw| 32,19/1 nw| 34,30/2 sw| 38,29/1 ne| 32,32/1 sw| 30,31/0 n | 29,36/0 sw|  3977 ms
